"ID","SupplierID","MaterialID","PricePerUnit","AvailableStock"
1,"00160690","32329237",3500.00,186
2,"00160690","35650176",200.00,333
3,"00160690","35431319",2500.00,57
4,"00160690","09583482",2200.00,238
5,"00160690","07507864",200.00,969
6,"00160690","29345092",300.00,82
7,"00160690","97942942",100.00,455
8,"00160690","09196777",500.00,978
9,"00160690","15014631",600.00,477
10,"00160690","71971316",1300.00,400
11,"00160690","13009833",2000.00,519
12,"00160690","77337818",200.00,347
13,"00160690","79978790",6700.00,128
14,"00160690","00076758",200.00,548
15,"00160690","44349361",500.00,310
16,"00160690","21682744",500.00,853
17,"00160690","12448136",4700.00,285
18,"00160690","49684848",1800.00,818
19,"00160690","79254563",700.00,186
20,"00160690","57854710",1600.00,424
21,"00160690","45667651",100.00,513
22,"00160690","97854904",100.00,245
23,"00160690","67827638",1400.00,637
24,"00160690","16879290",100.00,401
25,"00160690","55177213",100.00,1044
26,"00160690","90625494",2500.00,966
27,"00160690","99529223",1000.00,647
28,"00160690","96733645",400.00,291
29,"00160690","72340307",400.00,461
30,"00160690","50119651",600.00,385
31,"00160690","30728046",100.00,492
32,"00160690","03561597",100.00,256
33,"00160690","09196777",500.00,754
34,"00160690","13419256",400.00,954
35,"00160690","13209423",200.00,458
36,"00160690","80048665",400.00,379
37,"00160690","07901903",1600.00,472
38,"00160690","56722344",100.00,174
39,"00160690","21429110",2700.00,405
40,"00160690","72772208",600.00,454
41,"00160690","14665841",900.00,1004
42,"00160690","92747083",400.00,607
43,"00160690","07672593",300.00,975
44,"00160690","16879290",100.00,1004
45,"00160690","40603163",800.00,1046
46,"00160690","61586053",1900.00,167
47,"00160690","42235350",1000.00,649
48,"00160690","35431319",2500.00,693
49,"00160690","98847493",100.00,471
50,"00160690","30587988",700.00,225
51,"00160690","25556386",1300.00,664
52,"00160690","93702683",3400.00,593
53,"00160690","89788677",1100.00,925
54,"00160690","37308985",100.00,798
55,"00160690","21429110",2700.00,165
56,"00160690","00475894",100.00,380
57,"00160690","60291817",100.00,358
58,"00160690","46164955",16400.00,601
59,"00160690","67834855",2800.00,878
60,"00160690","93494928",3500.00,540
61,"00160690","74045292",2100.00,1017
62,"00160690","96356822",100.00,416
63,"00160690","94196727",5300.00,977
64,"00160690","73793389",100.00,590
65,"00160690","79254563",700.00,968
66,"00160690","49684848",3000.00,1021
67,"00160690","41837852",100.00,151
68,"00160690","14972279",300.00,642
69,"00160690","29219319",2100.00,706
70,"00160690","20513739",3000.00,556
71,"00160690","42462441",300.00,611
72,"00160690","60291817",100.00,337
73,"00160690","85132217",700.00,802
74,"00160690","45540424",100.00,950
75,"00160690","30587988",800.00,297
76,"00160690","53826716",3100.00,582
77,"00160690","96316277",4500.00,972
78,"00160690","21472420",200.00,63
79,"00160690","06729990",7000.00,348
80,"00224322","00475894",100.00,504
81,"00224322","84214382",100.00,424
82,"00224322","91744214",300.00,559
83,"00224322","22162965",100.00,475
84,"00224322","71182864",100.00,647
85,"00224322","94713081",3000.00,762
86,"00224322","71182864",100.00,818
87,"00224322","09583482",2300.00,756
88,"00224322","72394227",100.00,276
89,"00224322","63993471",500.00,63
90,"00224322","25556386",1300.00,437
91,"00224322","29436733",7400.00,948
92,"00224322","88231132",500.00,379
93,"00224322","13756669",300.00,1001
94,"00224322","37295260",2400.00,819
95,"00224322","39392920",300.00,1041
96,"00224322","36553958",900.00,700
97,"00224322","63481353",35000.00,325
98,"00224322","54193837",2800.00,478
99,"00224322","80801586",2200.00,366
100,"00224322","37338124",1200.00,346
101,"00224322","91887369",100.00,582
102,"00224322","14282218",9400.00,823
103,"00224322","08135295",700.00,321
104,"00224322","38250360",100.00,85
105,"00224322","28688676",8700.00,414
106,"00224322","78320463",3300.00,763
107,"00224322","32857966",700.00,526
108,"00224322","07672593",300.00,291
109,"00224322","71979055",3100.00,827
110,"00224322","80048665",400.00,214
111,"00224322","09832887",100.00,540
112,"00224322","78461803",300.00,1008
113,"00224322","87529405",22900.00,369
114,"00224322","09196777",500.00,771
115,"00224322","35594951",51200.00,697
116,"00224322","28270233",2900.00,125
117,"00224322","21931511",1400.00,485
118,"00224322","31944441",2100.00,1000
119,"00224322","15014631",500.00,497
120,"00224322","68387461",500.00,432
121,"00224322","96316277",4500.00,623
122,"00224322","81756179",300.00,766
123,"00224322","21227574",14800.00,914
124,"00224322","10570592",200.00,222
125,"00224322","88753260",10900.00,320
126,"00224322","35351479",3200.00,884
127,"00224322","25556386",1300.00,411
128,"00224322","17566185",100.00,353
129,"00224322","23978249",2700.00,480
130,"00224322","96593904",1900.00,295
131,"00224322","21931511",2600.00,982
132,"00224322","42462441",300.00,977
133,"00224322","09046318",3000.00,892
134,"00224322","50185867",400.00,476
135,"00224322","69008866",3000.00,656
136,"00224322","33101783",1200.00,801
137,"00224322","99990728",600.00,988
138,"00224322","21687165",3000.00,488
139,"00224322","21429110",2700.00,428
140,"00224322","47683626",2700.00,625
141,"00224322","66238574",2700.00,792
142,"00224322","17566185",100.00,1034
143,"00224322","12575562",400.00,744
144,"00224322","56722344",200.00,569
145,"00224322","17558317",2900.00,563
146,"00224322","72909480",400.00,60
147,"00224322","33704923",2000.00,562
148,"00224322","92592466",2500.00,580
149,"00224322","12388090",200.00,166
150,"00224322","91497616",200.00,1041
151,"00224322","76125617",200.00,657
152,"00224322","26998038",500.00,111
153,"00224322","25714784",1100.00,536
154,"00224322","96102525",300.00,297
155,"00224322","69467853",100.00,828
156,"00224322","35551614",100.00,197
157,"00224322","53826716",3100.00,454
158,"00224322","86977837",700.00,629
159,"00750927","24941004",300.00,735
160,"00750927","22162965",100.00,736
161,"00750927","21687165",3000.00,428
162,"00750927","18024248",1800.00,883
163,"00750927","72394227",200.00,80
164,"00750927","97086737",800.00,701
165,"00750927","70823176",20700.00,217
166,"00750927","54038913",600.00,933
167,"00750927","88753260",11000.00,962
168,"00750927","85511909",3000.00,962
169,"00750927","80801586",2200.00,875
170,"00750927","30742311",500.00,440
171,"00750927","78979095",500.00,526
172,"00750927","50929647",500.00,260
173,"00750927","31227216",800.00,673
174,"00750927","38285503",2300.00,535
175,"00750927","76460539",100.00,606
176,"00750927","96102525",300.00,377
177,"00750927","54038913",600.00,1018
178,"00750927","07869910",8000.00,910
179,"00750927","66238574",2200.00,447
180,"00750927","42169044",100.00,453
181,"00750927","50864911",600.00,874
182,"00750927","70823176",18000.00,962
183,"00750927","73863413",200.00,138
184,"00750927","53606628",5200.00,753
185,"00750927","94130244",400.00,305
186,"00750927","66238574",2400.00,215
187,"00750927","29476249",1200.00,112
188,"00750927","62043515",2800.00,866
189,"00750927","33704923",2000.00,944
190,"00750927","47553014",100.00,71
191,"00750927","85225343",100.00,474
192,"00750927","74593961",1800.00,107
193,"00750927","74752529",600.00,66
194,"00750927","63440831",300.00,957
195,"00750927","85320121",1400.00,538
196,"00750927","58800797",100.00,769
197,"00750927","60211891",4400.00,184
198,"00750927","94130244",400.00,562
199,"00750927","76125617",200.00,210
200,"00750927","69008866",3000.00,312
201,"00750927","10099059",400.00,881
202,"00750927","87529405",22900.00,418
203,"00750927","73863413",200.00,398
204,"00750927","35551614",100.00,686
205,"00750927","29345092",200.00,188
206,"00750927","61586053",3300.00,833
207,"00750927","07849494",2900.00,551
208,"00750927","96423126",1000.00,208
209,"00750927","54547971",6200.00,335
210,"00750927","90625494",2500.00,1002
211,"00750927","94130244",400.00,955
212,"00750927","57503414",1100.00,722
213,"00750927","97969689",300.00,694
214,"00750927","33744231",300.00,256
215,"00750927","56792612",100.00,147
216,"00750927","29219319",2100.00,919
217,"00750927","41837852",100.00,104
218,"00750927","34999379",200.00,714
219,"00750927","78320463",3100.00,207
220,"00750927","74252722",600.00,846
221,"00750927","32857966",700.00,556
222,"00750927","20776478",1600.00,195
223,"00750927","50864911",600.00,256
224,"00750927","15015458",400.00,648
225,"00750927","09289546",2700.00,421
226,"00750927","71691040",100.00,111
227,"00750927","13718431",800.00,241
228,"00750927","53606628",4900.00,826
229,"00750927","38285503",2300.00,355
230,"00750927","40056581",2200.00,248
231,"00750927","61510041",100.00,124
232,"00901493","12981052",2300.00,826
233,"00901493","73863413",200.00,710
234,"00901493","33273328",100.00,1023
235,"00901493","47553014",100.00,935
236,"00901493","17566185",100.00,558
237,"00901493","01049999",200.00,936
238,"00901493","45377076",2100.00,954
239,"00901493","04216175",1300.00,915
240,"00901493","29958838",1000.00,661
241,"00901493","72160068",100.00,510
242,"00901493","30158366",100.00,519
243,"00901493","53121477",100.00,1015
244,"00901493","14282218",9400.00,468
245,"00901493","42169044",100.00,245
246,"00901493","94196727",6200.00,770
247,"00901493","53606628",5200.00,67
248,"00901493","42436584",300.00,977
249,"00901493","35594951",51200.00,633
250,"00901493","38840994",100.00,183
251,"00901493","09736572",500.00,969
252,"00901493","27326368",2300.00,245
253,"00901493","09335534",1400.00,268
254,"00901493","95690391",1000.00,557
255,"00901493","32035886",100.00,933
256,"00901493","27415205",200.00,943
257,"00901493","60291817",100.00,867
258,"00901493","75863473",100.00,458
259,"00901493","74252722",500.00,640
260,"00901493","65569635",4000.00,773
261,"00901493","63993471",500.00,898
262,"00901493","17758595",400.00,120
263,"00901493","91332642",700.00,857
264,"00901493","00076758",300.00,877
265,"00901493","77337818",200.00,763
266,"00901493","57403166",29400.00,136
267,"00901493","72394227",200.00,341
268,"00901493","97739173",500.00,246
269,"00901493","81734598",3500.00,160
270,"00901493","77701200",2000.00,1012
271,"00901493","48718453",3200.00,532
272,"00901493","15015458",400.00,572
273,"00901493","13209423",200.00,214
274,"00901493","50864911",600.00,306
275,"00901493","65181648",2200.00,839
276,"00901493","08593410",2600.00,228
277,"00901493","71691040",100.00,572
278,"00901493","08181586",900.00,127
279,"00901493","56722344",200.00,868
280,"00901493","41837852",100.00,909
281,"00901493","74752529",700.00,892
282,"00901493","26697396",100.00,684
283,"00901493","00965138",1200.00,695
284,"00901493","30742311",400.00,373
285,"00901493","07901903",1600.00,731
286,"00901493","35503389",2300.00,484
287,"00901493","29587039",500.00,181
288,"00901493","35594597",200.00,402
289,"00901493","97854904",100.00,417
290,"00901493","78406989",1200.00,832
291,"00901493","03356886",300.00,857
292,"00901493","71182864",100.00,739
293,"00901493","18740864",200.00,77
294,"00901493","72340307",300.00,119
295,"00901493","21687165",3000.00,315
296,"00901493","51642594",100.00,168
297,"00901493","90152297",200.00,847
298,"00901493","08883684",100.00,681
299,"00901493","86028436",100.00,813
300,"00901493","13556182",100.00,975
301,"00901493","98748972",2300.00,384
302,"00901493","49597086",100.00,948
